ID	adj.P.Val	P.Value	t	B	logFC	SPOT_ID
5592_at	1.71e-06	1.45e-08	-8.0521508	9.75796	-0.47231691	protein kinase, cGMP-dependent, type I
53829_at	1.78e-06	1.53e-08	8.0281125	9.70239	1.56084671	purinergic receptor P2Y13
5880_at	1.78e-06	1.53e-08	8.027912	9.70193	1.43200873	ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)
11344_at	1.78e-06	1.56e-08	8.0204152	9.68458	0.60862645	twinfilin actin binding protein 2
3872_at	1.78e-06	1.57e-08	8.0180442	9.67909	1.71618089	keratin 17
6352_at	1.78e-06	1.58e-08	8.0162424	9.67492	1.28174734	C-C motif chemokine ligand 5
23603_at	1.88e-06	1.68e-08	7.9889618	9.61171	1.00606737	coronin 1C
10769_at	1.93e-06	1.74e-08	7.9744892	9.57814	1.69575943	polo like kinase 2
6659_at	2.05e-06	1.87e-08	7.9433471	9.5058	1.24547807	SRY-box 4
684959_at	2.08e-06	1.91e-08	7.9342856	9.48473	0.85883077	small nucleolar RNA, H/ACA box 25
7264_at	2.09e-06	1.94e-08	7.9285308	9.47134	0.77888453	tissue specific transplantation antigen P35B
7305_at	2.09e-06	1.95e-08	7.9253656	9.46397	2.19115809	TYRO protein tyrosine kinase binding protein
6275_at	2.12e-06	2.00e-08	7.9154778	9.44095	1.69753249	S100 calcium binding protein A4
2359_at	2.12e-06	2.02e-08	7.9117739	9.43232	1.31432081	formyl peptide receptor 3
4069_at	2.16e-06	2.08e-08	7.8995977	9.40395	2.79007982	lysozyme
